cod;nombre;provincia;ccaa;pob2025;sup_km2;densidad;pob_0_15;pob_16_64;pct_16_64;pob_65_mas;pct_65_mas;es_zona_rural;paro_total;paro_h_m25;paro_h_25_44;paro_h_m45;paro_m_m25;paro_m_25_44;paro_m_m45;paro_agri;paro_indus;paro_constr;paro_serv;paro_sin_emp;tasa_paro_est;contr_total;contr_h_indef;contr_h_temp;contr_m_indef;contr_m_temp;contr_agri;contr_indus;contr_constr;contr_serv;anio_pob;anio_edad;anio_sup;anio_paro
03078;Hondón de los Frailes;Alicante/Alacant;Comunitat Valenciana;1334;12.55;106.29;99;686;51.4;538;40.3;NO;55;2;8;25;2;11;9;2;5;7;35;5;8.0;16;0;10;2;2;9;2;;6;2025;2025;2020;Abril 2026
03079;Ibi;Alicante/Alacant;Comunitat Valenciana;24500;62.52;391.87;3378;16193;66.1;5091;20.8;NO;1416;32;160;282;37;247;658;17;516;65;747;71;8.7;618;86;235;70;192;5;347;25;241;2025;2025;2020;Abril 2026
03080;Jacarilla;Alicante/Alacant;Comunitat Valenciana;2176;12.2;178.36;281;1421;65.3;478;22.0;NO;116;;16;25;2;20;54;6;18;11;72;9;8.2;46;30;2;5;9;11;6;6;23;2025;2025;2020;Abril 2026
03081;Xaló;Alicante/Alacant;Comunitat Valenciana;3104;34.59;89.74;407;1769;57.0;946;30.5;SI;90;2;12;32;0;14;29;0;5;9;71;5;5.1;42;11;13;5;10;;2;2;38;2025;2025;2020;Abril 2026
03082;Xàbia/Jávea;Alicante/Alacant;Comunitat Valenciana;30642;68.59;446.74;4341;19458;63.5;7018;22.9;NO;933;25;128;268;16;170;326;10;37;133;708;45;4.8;634;271;56;207;91;2;16;76;541;2025;2025;2020;Abril 2026
03083;Xixona/Jijona;Alicante/Alacant;Comunitat Valenciana;7669;163.76;46.83;1007;4951;64.6;1709;22.3;SI;295;14;35;63;19;57;107;5;78;14;162;36;6.0;383;40;182;13;144;;333;15;35;2025;2025;2020;Abril 2026
03084;Orxa, l'/Lorcha;Alicante/Alacant;Comunitat Valenciana;589;31.76;18.55;67;334;56.7;190;32.3;SI;32;0;2;11;2;10;9;2;6;2;22;2;9.6;2;2;0;2;0;;2;;2;2025;2025;2020;Abril 2026
03085;Llíber;Alicante/Alacant;Comunitat Valenciana;882;21.93;40.22;91;511;57.9;350;39.7;SI;25;;2;8;;6;8;;;2;21;0;4.9;16;9;0;6;2;2;;2;14;2025;2025;2020;Abril 2026
03086;Millena;Alicante/Alacant;Comunitat Valenciana;265;9.77;27.12;20;163;61.5;83;31.3;SI;2;;2;2;;0;0;;0;0;2;;1.2;;;;;;;;;;2025;2025;2020;Abril 2026
03088;Monforte del Cid;Alicante/Alacant;Comunitat Valenciana;9283;79.52;116.74;1557;6491;69.9;1324;14.3;NO;410;10;69;111;16;100;104;87;45;33;208;37;6.3;200;85;31;74;6;98;22;22;58;2025;2025;2020;Abril 2026
03089;Monòver/Monóvar;Alicante/Alacant;Comunitat Valenciana;13116;152.36;86.09;1864;8294;63.2;2940;22.4;SI;901;27;110;219;28;173;344;32;231;57;484;97;10.9;121;56;20;27;13;15;42;14;50;2025;2025;2020;Abril 2026
03090;Mutxamel;Alicante/Alacant;Comunitat Valenciana;28621;47.65;600.65;4583;19467;68.0;4639;16.2;NO;1296;45;167;322;39;232;491;20;105;107;978;86;6.7;274;63;66;75;63;19;33;15;207;2025;2025;2020;Abril 2026
03091;Murla;Alicante/Alacant;Comunitat Valenciana;574;5.81;98.8;39;278;48.4;257;44.8;SI;11;0;2;2;;2;6;;2;2;8;0;4.0;2;2;0;2;0;;;;2;2025;2025;2020;Abril 2026
